00081_00.jpg,Levi's, short sleeve, scoop neck, black, red, white, casual,tight fit, black, blonde
00149_00.jpg,Black, Off-shoulder, Square neckline, Casual,tight fit, black, black
00152_00.jpg,Levi's,short sleeve,round neck,white,red,blue,casual,tight fit, blue, black
00191_00.jpg,NEW GIRL ORDER,short sleeve,circle neck,pink,pink,Sugar Daddy,casual,tight fit, red, black
00206_00.jpg,PS Paul Smith,short sleeve,cowl neck,white,red,green,unknown,Loose fit, black, black
00228_00.jpg,American Eagle, short sleeve, round neck, white, blue, red, casual,Loose fit, pink, brown
00237_00.jpg,Black, Unknown, Short sleeve, Round neck, Black, Unknown, Casual,loose fit,black,blonde
00448_00.jpg,Yellow, floral pattern, long sleeve, v-neck, casual,Loose fit, yellow, black
00647_00.jpg,Levi's,Short sleeve,V-neck,Cyan,Red,White,Casual,Loose fit, red, blonde
00655_00.jpg,Unknown],short sleeve,cowl neck,pink,red,blue,casual,Loose fit, blue, black
00658_00.jpg,Unknown],short sleeve,cowl neck,white,yellow,red,casual,tight fit, blue, black
00659_00.jpg,Simply Be, short sleeve, v-neck, leopard print, beige, black, casual,Loose fit, black, black
00688_00.jpg,Selecter,Unknown,sleeveless,v-neck,white,unknown,casual,tight fit, black, brown
00701_00.jpg,Unknown],long sleeve,v-neck,black,yellow,floral,casual,tight fit, white, blonde
00732_00.jpg,Yellow, Casual,Loose fit, yellow, black
00734_00.jpg,Black, Casual,tight fit, black, brown
00788_00.jpg,Unknown],short sleeve,cowl neck,white,purple,red,casual,tight fit, red, blonde
00843_00.jpg,Tommy Sport,Short sleeve,Round neck,White,Red,Navy Blue,casual,tight fit, blue, black
00856_00.jpg,Anna Field,unknown,sleeveless,collarless,navy,navy,unknown,tight fit,green,blonde
00948_00.jpg,Tommy Hilfiger, short sleeve, round neck, white, red, blue, casual,tight fit, blue, blonde
00950_00.jpg,Zuzzi,Unknown,sleeveless,v-neck,white,yellow,pink,casual,Loose fit, blue, black
01014_00.jpg,Tommy Jeans, long sleeve, crew neck, white, red, blue, casual,tight fit, black, blonde
01016_00.jpg,Unknown, Short sleeve, Round neck, White, Red, Blue, Casual,Loose fit, red, black
01080_00.jpg,Unknown], short sleeve, v-neck, brown, green, camouflage, casual,tight fit, black, brown
01106_00.jpg,Modstrom, short sleeve, round neck, black, pink, yellow, casual,tight fit, beige, brown
01189_00.jpg,Yellow, Casual,tight fit,blue,blonde
01234_00.jpg,Yes, the brand name is unknown, the sleeve is short, the neckline is round, the primary color is white, the secondary color is green, pink, purple, and yellow, and the casualness is casual.,tight fit, pink, brown
01334_00.jpg,Desigual, short sleeve, round neck, white, yellow, blue, casual,Loose fit, red, black
01417_00.jpg,Unknown],long sleeve,v-neck,navy,red,white,casual,Loose fit, red, black
01440_00.jpg,AC/DC, short sleeve, round neck, black, yellow, blue, casual,Loose fit, black, blonde
01442_00.jpg,Nike, Short sleeve, Round neck, White, Black, Red, Casual,tight fit, gray, brown
01447_00.jpg,Unknown], short sleeve, v-neck, black, blue, red, casual,tight fit, black, blonde
01493_00.jpg,Nike,Short sleeve,R-neck,White,Pink,Lilac,Casual,Loose fit, blue, black
